dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
58;1;2022-01-13;120310;119285;73028;232;78273
58;2;2022-01-13;22931;24427;24839;89;27901
58;3;2022-01-13;14932;12280;30;0;8
58;4;2022-01-13;5005;5;0;0;1
59;1;2022-01-13;1530843;1474191;783437;2940;871006
59;2;2022-01-13;208084;225473;272417;978;316930
59;3;2022-01-13;203166;157187;198;0;73
59;4;2022-01-13;42729;150;25;0;92
60;1;2022-01-13;498935;466650;215836;669;234389
60;2;2022-01-13;74175;78519;98373;331;112940
60;3;2022-01-13;42325;34302;41;0;17
60;4;2022-01-13;9932;27;3;0;10
61;1;2022-01-13;179964;175585;86413;164;92046
61;2;2022-01-13;21658;23972;45432;147;50032
61;3;2022-01-13;17110;13780;12;0;7
61;4;2022-01-13;4710;15;1;0;2
62;1;2022-01-13;886283;862549;498613;2153;544851
62;2;2022-01-13;138605;149193;162372;768;187126
62;3;2022-01-13;127119;101910;203;0;45
62;4;2022-01-13;23444;77;7;1;22
63;1;2022-01-13;388139;381811;223272;642;239168
63;2;2022-01-13;63492;68417;77083;207;86086
63;3;2022-01-13;51733;40755;39;0;4
63;4;2022-01-13;11017;38;2;0;4
64;1;2022-01-13;451514;442706;253345;660;266150
64;2;2022-01-13;48016;51094;78680;215;85258
64;3;2022-01-13;45457;36749;27;0;10
64;4;2022-01-13;9757;42;1;0;11
65;1;2022-01-13;149384;146011;80279;153;85390
65;2;2022-01-13;16369;17819;27564;79;30395
65;3;2022-01-13;12098;8939;20;0;8
65;4;2022-01-13;3645;12;1;0;5
66;1;2022-01-13;280630;272967;162960;365;171800
66;2;2022-01-13;46274;47923;48519;137;53804
66;3;2022-01-13;32392;27125;30;0;12
66;4;2022-01-13;10947;78;14;0;43
67;1;2022-01-13;660269;639819;342694;760;374939
67;2;2022-01-13;120724;126679;135435;387;149675
67;3;2022-01-13;88486;67853;70;0;36
67;4;2022-01-13;18490;75;10;0;35
68;1;2022-01-13;424605;407465;198344;415;216523
68;2;2022-01-13;76818;80588;97470;229;109051
68;3;2022-01-13;43284;32414;35;0;27
68;4;2022-01-13;10974;52;13;0;36
69;1;2022-01-13;1125965;1059464;488818;1267;555631
69;2;2022-01-13;150738;165101;209182;737;243979
69;3;2022-01-13;114438;84192;115;0;69
69;4;2022-01-13;23700;137;25;0;75
70;1;2022-01-13;140778;136252;76708;230;83210
70;2;2022-01-13;21657;23040;26722;57;29843
70;3;2022-01-13;15577;12573;13;0;4
70;4;2022-01-13;3250;3;0;0;1
71;1;2022-01-13;345095;337164;188542;765;205722
71;2;2022-01-13;45188;50204;64592;230;73358
71;3;2022-01-13;39255;30823;41;0;5
71;4;2022-01-13;10187;23;5;0;11
72;1;2022-01-13;366573;354176;167280;588;178253
72;2;2022-01-13;43913;49940;82439;225;91166
72;3;2022-01-13;37331;30296;88;0;35
72;4;2022-01-13;8799;39;1;0;13
73;1;2022-01-13;283202;268109;110935;461;123316
73;2;2022-01-13;18557;24145;60491;200;68891
73;3;2022-01-13;29190;21860;18;0;7
73;4;2022-01-13;4631;16;3;0;8
74;1;2022-01-13;482567;446683;173717;551;195371
74;2;2022-01-13;57481;64873;94911;383;109937
74;3;2022-01-13;39405;28511;19;0;12
74;4;2022-01-13;6457;55;7;0;20
75;1;2022-01-13;1443910;1369398;676302;1527;764073
75;2;2022-01-13;143268;164953;287546;706;330444
75;3;2022-01-13;150482;100957;102;0;131
75;4;2022-01-13;24881;206;30;0;104
76;1;2022-01-13;743150;724205;377071;1154;407028
76;2;2022-01-13;134565;146422;194482;346;217165
76;3;2022-01-13;101068;80575;47;0;11
76;4;2022-01-13;22551;101;46;0;57
77;1;2022-01-13;899857;832402;355346;804;394348
77;2;2022-01-13;66980;79795;166109;500;191497
77;3;2022-01-13;75795;57364;66;0;27
77;4;2022-01-13;15204;116;9;0;78
78;1;2022-01-13;866206;816176;383695;832;419162
78;2;2022-01-13;154792;164124;220209;486;246731
78;3;2022-01-13;87094;64673;84;0;77
78;4;2022-01-13;16727;98;15;0;53
79;1;2022-01-13;226325;221965;100749;330;107146
79;2;2022-01-13;41847;45843;72381;123;79052
79;3;2022-01-13;29753;24526;20;0;8
79;4;2022-01-13;7399;21;1;0;9
80;1;2022-01-13;341113;334724;195357;716;210856
80;2;2022-01-13;59631;62409;68331;309;76904
80;3;2022-01-13;51908;42481;71;0;17
80;4;2022-01-13;10155;16;0;0;2
81;1;2022-01-13;232069;224049;119867;232;128091
81;2;2022-01-13;40443;42523;50778;105;56586
81;3;2022-01-13;23546;17968;16;0;7
81;4;2022-01-13;6440;23;1;0;3
82;1;2022-01-13;159812;154725;75902;142;81194
82;2;2022-01-13;16755;18253;31696;58;35191
82;3;2022-01-13;16345;13521;14;0;5
82;4;2022-01-13;5145;46;3;0;30
83;1;2022-01-13;611586;583798;340557;831;365394
