"dep";"an_sem";"clage_covid_dc65";"cat_zscore"
"42";"2020-S12";"0";"1"
"42";"2020-S13";"0";"2"
"42";"2020-S14";"0";"3"
"43";"2020-S11";"A";"1"
"43";"2020-S12";"A";"1"
"43";"2020-S13";"A";"1"
"43";"2020-S14";"A";"1"
"43";"2020-S11";"0";"1"
"43";"2020-S12";"0";"1"
"43";"2020-S13";"0";"1"
"43";"2020-S14";"0";"1"
"44";"2020-S11";"A";"1"
"44";"2020-S12";"A";"1"
"44";"2020-S13";"A";"1"
"44";"2020-S14";"A";"1"
"44";"2020-S11";"0";"1"
"44";"2020-S12";"0";"1"
"44";"2020-S13";"0";"1"
"44";"2020-S14";"0";"1"
"45";"2020-S11";"A";"1"
"45";"2020-S12";"A";"1"
"45";"2020-S13";"A";"1"
"45";"2020-S14";"A";"1"
"45";"2020-S11";"0";"1"
"45";"2020-S12";"0";"1"
"45";"2020-S13";"0";"1"
"45";"2020-S14";"0";"1"
"46";"2020-S11";"A";"1"
"46";"2020-S12";"A";"1"
"46";"2020-S13";"A";"1"
"46";"2020-S14";"A";"2"
"46";"2020-S11";"0";"1"
"46";"2020-S12";"0";"1"
"46";"2020-S13";"0";"1"
"46";"2020-S14";"0";"2"
"47";"2020-S11";"A";"1"
"47";"2020-S12";"A";"1"
"47";"2020-S13";"A";"1"
"47";"2020-S14";"A";"1"
"47";"2020-S11";"0";"1"
"47";"2020-S12";"0";"1"
"47";"2020-S13";"0";"1"
"47";"2020-S14";"0";"1"
"48";"2020-S11";"A";"1"
"48";"2020-S12";"A";"1"
"48";"2020-S13";"A";"1"
"48";"2020-S14";"A";"1"
"48";"2020-S11";"0";"1"
"48";"2020-S12";"0";"1"
"48";"2020-S13";"0";"1"
"48";"2020-S14";"0";"1"
"49";"2020-S11";"A";"1"
"49";"2020-S12";"A";"1"
"49";"2020-S13";"A";"1"
"49";"2020-S14";"A";"2"
"49";"2020-S11";"0";"1"
"49";"2020-S12";"0";"1"
"49";"2020-S13";"0";"1"
"49";"2020-S14";"0";"2"
"50";"2020-S11";"A";"1"
"50";"2020-S12";"A";"1"
"50";"2020-S13";"A";"1"
"50";"2020-S14";"A";"1"
"50";"2020-S11";"0";"1"
"50";"2020-S12";"0";"1"
"50";"2020-S13";"0";"1"
"50";"2020-S14";"0";"1"
"51";"2020-S11";"A";"1"
"51";"2020-S12";"A";"1"
"51";"2020-S13";"A";"2"
"51";"2020-S14";"A";"3"
"51";"2020-S11";"0";"1"
"51";"2020-S12";"0";"1"
"51";"2020-S13";"0";"2"
"51";"2020-S14";"0";"3"
"52";"2020-S11";"A";"1"
"52";"2020-S12";"A";"2"
"52";"2020-S13";"A";"2"
"52";"2020-S14";"A";"2"
"52";"2020-S11";"0";"1"
"52";"2020-S12";"0";"1"
"52";"2020-S13";"0";"2"
"52";"2020-S14";"0";"2"
"53";"2020-S11";"A";"1"
"53";"2020-S12";"A";"1"
"53";"2020-S13";"A";"1"
"53";"2020-S14";"A";"1"
"53";"2020-S11";"0";"1"
"53";"2020-S12";"0";"1"
"53";"2020-S13";"0";"1"
"53";"2020-S14";"0";"1"
"54";"2020-S11";"A";"2"
"54";"2020-S12";"A";"1"
"54";"2020-S13";"A";"2"
"54";"2020-S14";"A";"3"
"54";"2020-S11";"0";"1"
"54";"2020-S12";"0";"1"
"54";"2020-S13";"0";"2"
"54";"2020-S14";"0";"3"
"55";"2020-S11";"A";"1"
"55";"2020-S12";"A";"1"
"55";"2020-S13";"A";"2"
"55";"2020-S14";"A";"2"
"55";"2020-S11";"0";"1"
"55";"2020-S12";"0";"1"
"55";"2020-S13";"0";"2"
"55";"2020-S14";"0";"2"
"56";"2020-S11";"A";"1"
"56";"2020-S12";"A";"2"
"56";"2020-S13";"A";"1"
"56";"2020-S14";"A";"2"
"56";"2020-S11";"0";"1"
"56";"2020-S12";"0";"1"
"56";"2020-S13";"0";"1"
"56";"2020-S14";"0";"2"
"57";"2020-S11";"A";"1"
"57";"2020-S12";"A";"3"
"57";"2020-S13";"A";"4"
"57";"2020-S14";"A";"5"
"57";"2020-S11";"0";"1"
