dep;week;P;T;cl_age90;pop
01;2020-S49;131;1256;49;89678
01;2020-S49;135;1253;59;89791
01;2020-S49;95;900;69;73500
01;2020-S49;58;654;79;51011
01;2020-S49;57;535;89;26830
01;2020-S49;37;346;90;7395
01;2020-S49;952;9087;0;656955
01;2020-S50;37;390;09;83001
01;2020-S50;144;1463;19;84665
01;2020-S50;145;1472;29;65496
01;2020-S50;154;1685;39;85588
01;2020-S50;146;1575;49;89678
01;2020-S50;155;1538;59;89791
01;2020-S50;108;1124;69;73500
01;2020-S50;64;806;79;51011
01;2020-S50;62;573;89;26830
01;2020-S50;30;269;90;7395
01;2020-S50;1045;10898;0;656955
01;2020-S51;46;994;09;83001
01;2020-S51;217;5826;19;84665
01;2020-S51;160;3099;29;65496
01;2020-S51;207;4502;39;85588
01;2020-S51;229;4996;49;89678
01;2020-S51;205;4587;59;89791
01;2020-S51;146;4296;69;73500
01;2020-S51;104;3231;79;51011
01;2020-S51;61;1234;89;26830
01;2020-S51;42;369;90;7395
01;2020-S51;1417;33145;0;656955
01;2020-S52;35;998;09;83001
01;2020-S52;127;3740;19;84665
01;2020-S52;122;3586;29;65496
01;2020-S52;138;4362;39;85588
01;2020-S52;148;4664;49;89678
01;2020-S52;137;4048;59;89791
01;2020-S52;80;3003;69;73500
01;2020-S52;70;2173;79;51011
01;2020-S52;46;1001;89;26830
01;2020-S52;39;368;90;7395
01;2020-S52;942;27947;0;656955
01;2020-S53;25;373;09;83001
01;2020-S53;112;1582;19;84665
01;2020-S53;158;2315;29;65496
01;2020-S53;154;2031;39;85588
01;2020-S53;168;1862;49;89678
01;2020-S53;142;1864;59;89791
01;2020-S53;115;1534;69;73500
01;2020-S53;49;961;79;51011
01;2020-S53;55;606;89;26830
01;2020-S53;43;374;90;7395
01;2020-S53;1021;13502;0;656955
01;2021-S01;39;381;09;83001
01;2021-S01;191;1669;19;84665
01;2021-S01;196;2279;29;65496
01;2021-S01;208;2265;39;85588
01;2021-S01;185;2100;49;89678
01;2021-S01;195;2154;59;89791
01;2021-S01;142;1567;69;73500
01;2021-S01;97;1086;79;51011
01;2021-S01;98;702;89;26830
01;2021-S01;47;309;90;7395
01;2021-S01;1398;14513;0;656955
01;2021-S02;59;516;09;83001
01;2021-S02;166;1865;19;84665
01;2021-S02;163;1879;29;65496
01;2021-S02;193;2039;39;85588
01;2021-S02;200;1963;49;89678
01;2021-S02;183;2017;59;89791
01;2021-S02;135;1447;69;73500
01;2021-S02;96;1047;79;51011
01;2021-S02;59;636;89;26830
01;2021-S02;28;277;90;7395
01;2021-S02;1282;13687;0;656955
01;2021-S03;93;730;09;83001
01;2021-S03;193;1967;19;84665
01;2021-S03;170;1792;29;65496
01;2021-S03;241;2295;39;85588
01;2021-S03;213;2052;49;89678
01;2021-S03;214;2018;59;89791
01;2021-S03;123;1438;69;73500
01;2021-S03;78;1066;79;51011
01;2021-S03;66;654;89;26830
01;2021-S03;46;316;90;7395
01;2021-S03;1437;14328;0;656955
01;2021-S04;77;806;09;83001
01;2021-S04;224;3082;19;84665
01;2021-S04;183;2114;29;65496
01;2021-S04;238;2741;39;85588
01;2021-S04;252;2445;49;89678
01;2021-S04;201;2265;59;89791
01;2021-S04;140;1509;69;73500
01;2021-S04;84;1064;79;51011
01;2021-S04;98;608;89;26830
01;2021-S04;59;336;90;7395
01;2021-S04;1556;16970;0;656955
01;2021-S05;73;1048;09;83001
01;2021-S05;246;4963;19;84665
01;2021-S05;162;2197;29;65496
01;2021-S05;205;3023;39;85588
01;2021-S05;228;2831;49;89678
01;2021-S05;229;2446;59;89791
01;2021-S05;144;1625;69;73500
01;2021-S05;88;1087;79;51011
01;2021-S05;81;660;89;26830
01;2021-S05;81;387;90;7395
01;2021-S05;1537;20268;0;656955
01;2021-S06;51;738;09;83001
01;2021-S06;169;2145;19;84665
01;2021-S06;146;2084;29;65496
01;2021-S06;185;2588;39;85588
01;2021-S06;207;2642;49;89678
01;2021-S06;166;2280;59;89791
01;2021-S06;117;1462;69;73500
01;2021-S06;106;1082;79;51011
01;2021-S06;48;629;89;26830
01;2021-S06;34;268;90;7395
01;2021-S06;1229;15919;0;656955
01;2021-S07;56;468;09;83001
01;2021-S07;166;1420;19;84665
01;2021-S07;148;1850;29;65496
01;2021-S07;201;2173;39;85588
01;2021-S07;205;1991;49;89678
01;2021-S07;184;1891;59;89791
01;2021-S07;105;1441;69;73500
01;2021-S07;72;984;79;51011
01;2021-S07;40;533;89;26830
01;2021-S07;15;201;90;7395
01;2021-S07;1192;12953;0;656955
01;2021-S08;78;631;09;83001
01;2021-S08;186;3226;19;84665
01;2021-S08;164;2021;29;65496
01;2021-S08;206;2237;39;85588
01;2021-S08;179;1987;49;89678
01;2021-S08;176;2110;59;89791
01;2021-S08;116;1511;69;73500
01;2021-S08;81;1116;79;51011
01;2021-S08;44;614;89;26830
01;2021-S08;13;246;90;7395
01;2021-S08;1243;15699;0;656955
01;2021-S09;67;913;09;83001
01;2021-S09;118;3569;19;84665
01;2021-S09;143;2060;29;65496
01;2021-S09;177;2384;39;85588
01;2021-S09;153;2126;49;89678
01;2021-S09;158;2075;59;89791
01;2021-S09;111;1542;69;73500
01;2021-S09;74;1069;79;51011
01;2021-S09;29;525;89;26830
01;2021-S09;9;239;90;7395
01;2021-S09;1039;16502;0;656955
01;2021-S10;77;2216;09;83001
01;2021-S10;207;4418;19;84665
01;2021-S10;153;2252;29;65496
01;2021-S10;181;2663;39;85588
01;2021-S10;204;2447;49;89678
01;2021-S10;148;2276;59;89791
01;2021-S10;107;1512;69;73500
01;2021-S10;67;1062;79;51011
01;2021-S10;31;546;89;26830
01;2021-S10;3;237;90;7395
01;2021-S10;1178;19630;0;656955
01;2021-S11;92;3344;09;83001
01;2021-S11;297;4715;19;84665
01;2021-S11;203;2455;29;65496
01;2021-S11;274;3066;39;85588
01;2021-S11;232;2719;49;89678
01;2021-S11;233;2556;59;89791
01;2021-S11;137;1707;69;73500
01;2021-S11;72;1060;79;51011
